name,colour
toy3,blue
toy4,green
toy5,blue
toy6,red
toy12,black
toy13,black
toy14,red
toy16,white
toy23,blue
toy25,blue
toy26,green
toy27,green
toy28,red
toy30,blue
toy33,blue
toy34,white
toy41,white
toy45,red
toy49,yellow
toy50,blue
toy52,red
toy54,white
toy55,white
toy56,yellow
toy64,blue
toy67,blue
toy68,orange
toy69,yellow
toy70,blue
toy72,red
toy77,red
toy78,blue
toy82,green
toy83,blue
toy84,white
toy90,white
toy92,blue
toy96,green
toy97,white
toy100,yellow
toy102,red
toy106,blue
toy108,yellow
toy113,black
toy114,red
toy118,green
toy119,blue
toy120,red
toy121,red
toy124,green
toy125,red
toy128,orange
toy129,red
toy130,red
toy131,white
toy135,black
toy138,green
toy140,red
toy143,blue
toy144,black
toy146,green
toy148,blue
toy150,red
toy153,blue
toy155,orange
toy164,orange
toy165,green
toy167,blue
toy168,red
toy169,white
toy173,green
toy175,orange
toy183,yellow
toy187,black
toy188,white
toy190,blue
toy192,white
toy193,blue
toy196,white
toy199,red
toy200,white
toy205,orange
toy206,blue
toy207,black
toy210,blue
toy211,orange
toy214,red
toy216,green
toy219,orange
toy220,red
toy221,green
toy227,black
toy228,orange
toy229,white
toy231,white
toy232,yellow
toy233,black
toy234,white
toy237,black
toy239,white
toy242,blue
toy249,blue
toy250,blue
toy251,yellow
toy254,orange
toy255,red
toy256,yellow
toy261,orange
toy263,green
toy264,green
toy265,blue
toy267,white
toy274,green
toy276,orange
toy277,yellow
toy278,yellow
toy280,black
toy281,blue
toy283,black
toy286,red
toy289,black
toy290,blue
toy297,red
toy299,orange
toy300,green
toy304,blue
toy308,black
toy313,black
toy318,green
toy320,blue
toy322,green
toy325,black
toy327,orange
toy335,black
toy339,black
toy340,blue
toy344,green
toy345,black
toy349,orange
toy350,red
toy351,orange
toy353,green
toy354,white
toy355,orange
toy358,orange
toy360,white
toy362,orange
toy365,orange
toy368,black
toy369,red
toy372,red
toy373,blue
toy374,black
toy379,white
toy380,green
toy381,black
toy382,orange
toy384,blue
toy386,red
toy387,black
toy389,orange
toy393,orange
toy396,white
toy398,blue
toy402,white
toy404,black
toy407,orange
toy409,yellow
toy410,blue
toy416,yellow
toy419,green
toy427,green
toy430,yellow
toy433,white
toy434,green
toy438,green
toy442,blue
toy445,blue
toy448,black
toy449,red
toy450,black
toy451,orange
toy452,green
toy455,red
toy456,orange
toy457,black
toy459,red
toy462,orange
toy466,yellow
toy467,green
toy469,red
toy470,green
toy472,green
toy473,orange
toy476,blue
toy477,blue
toy480,blue
toy481,white
toy485,red
toy487,red
toy491,black
toy494,orange
toy495,yellow
toy497,blue
toy498,white
toy500,white
toy501,white
toy502,orange
toy503,black
toy504,orange
toy505,red
toy513,green
toy517,red
toy523,black
toy524,black
toy525,black
toy526,red
toy528,yellow
toy530,black
toy531,blue
toy532,yellow
toy534,black
toy535,white
toy536,red
toy540,orange
toy544,white
toy547,blue
toy548,white
toy549,green
toy554,black
toy559,black
toy561,red
toy562,red
toy563,green
toy564,blue
toy566,white
toy568,blue
toy578,red
toy580,red
toy581,orange
toy586,yellow
toy587,green
toy588,black
toy589,blue
toy590,white
toy593,black
toy595,blue
toy597,red
toy599,orange
toy601,green
toy603,blue
toy605,yellow
toy606,black
toy608,white
toy609,yellow
toy616,yellow
toy619,white
toy620,blue
toy621,black
toy622,red
toy624,green
toy627,blue
toy628,black
toy634,black
toy635,orange
toy638,black
toy640,orange
toy643,orange
toy644,white
toy645,green
toy647,white
toy650,white
toy652,black
toy653,red
toy654,black
toy655,white
toy657,red
toy661,white
toy662,yellow
toy665,green
toy669,blue
toy671,green
toy672,yellow
toy676,yellow
toy677,red
toy678,white
toy680,yellow
toy682,orange
toy684,green
toy687,yellow
toy689,black
toy690,yellow
toy691,blue
toy693,blue
toy696,white
toy701,blue
toy702,green
toy707,green
toy708,orange
toy710,white
toy711,green
toy713,green
toy714,black
toy716,orange
toy717,green
toy718,yellow
toy721,red
toy725,black
toy726,red
toy728,yellow
toy732,green
toy734,green
toy738,black
toy740,yellow
toy743,blue
toy744,red
toy745,red
toy746,yellow
toy747,yellow
toy750,yellow
toy751,green
toy752,black
toy755,white
toy756,orange
toy762,yellow
toy765,white
toy766,black
toy767,orange
toy768,yellow
toy775,blue
toy776,orange
toy778,blue
toy779,white
toy780,black
toy782,orange
toy784,green
toy785,black
toy788,black
toy794,white
toy796,white
toy804,blue
toy809,black
toy812,orange
toy813,green
toy815,red
toy825,green
toy826,blue
toy830,orange
toy831,yellow
toy837,blue
toy842,red
toy844,white
toy845,orange
toy846,green
toy848,red
toy851,black
toy856,blue
toy862,red
toy863,blue
toy868,yellow
toy870,white
toy871,yellow
toy878,red
toy882,black
toy883,red
toy885,black
toy887,black
toy889,yellow
toy890,blue
toy895,black
toy898,blue
toy901,blue
toy902,white
toy906,orange
toy907,yellow
toy908,orange
toy916,white
toy918,white
toy920,red
toy922,orange
toy924,yellow
toy926,white
toy927,blue
toy931,orange
toy933,green
toy934,green
toy935,black
toy936,yellow
toy938,black
toy941,red
toy944,green
toy947,black
toy948,green
toy951,green
toy952,black
toy957,yellow
toy958,black
toy960,blue
toy962,red
toy964,orange
toy971,blue
toy972,yellow
toy973,yellow
toy978,red
toy982,blue
toy987,yellow
toy990,green
toy993,black
toy996,blue
toy998,green
